	日期	事件标题	国家	区域	消费品名称	涉及的消费品数量	伤害事件	事件来源	消费品一级类别	消费品二级类别	链接	伤害类型	严重程度	消费品危害类型	消费品一级危害类型	消费品二级危害类型	消费者年龄	消费者受教育程度	消费者职业	健康状况	消费品问题部件	尺寸	绳索及类似物	不透气	填充物	锐利边缘	部件空隙或开口	尖角	光滑表面	粗糙表面	小零件	昼夜	温度	湿度	海拔	稳定性	腐蚀性	速度	腐蚀物	坎坷	爬坡	下坡	地面摩擦	斜坡	楼梯	灰尘	静电	辐射	警示标识缺失	高温表面	高温液体	高温气体	低温表面	低温液体	低温气体	明火	高低电压	过热	漏电	短路	接触不良	铁芯发热	散热不良	稳定性噪音危害	变动性噪音危害	脉冲性噪音危害	爆炸性气体	爆炸性粉尘	爆炸性喷雾	聚合爆炸	蒸发爆炸	液体混合爆炸	爆炸性化合物	固体爆炸性物质	爆炸性气体	旋转部件牵扯	飞行物体撞击	移动部件挤压	机械稳定性	机械强度	弹性组件失控	压力空间失控	热辐射危害	激光辐射	紫外线辐射	X光线辐射	高频电磁辐射	低频电磁辐射	甲醛	乙醛	丙烯醛	其它有毒醛类	蒽类化合物	菲类化合物	芘类化合物	其它有毒芳香稠环类化合物类	N-杂环化合物	S-杂环化合物	O-杂环化合物	其它有毒杂环类化合物	有机氟化物	有机氯化物	有机溴化物	其它有毒有机氯化物	一氧化氮	一氧化碳	氯气	臭氧	氯化氢	硫化氢	其它有毒气体	砷	镉	铬	铜	汞	镍	铅	其它有毒重金属及其化合物	硫酸	盐酸	氢氧化钠	其它有毒酸碱类物	氢氰酸	氰化钾	氰化氢	其它无机氰化物	尘螨	蛔虫卵	绦虫卵	其它寄生虫危害	甲肝病毒	甲型流感病毒	轮状病毒	禽流感病毒	其它原生微生物危害	皮肤癣真菌	着色真菌	孢子丝菌	新生隐球菌	假丝酵母菌	曲霉	毛霉	卡氏肺孢菌	其它真核细胞微生物危害	大肠杆菌	沙门氏菌	副溶血性弧菌	金黄色葡萄球菌	腊样芽孢肝菌	其它原核细胞微生物危害
0	2021/5/26	又一辆电动车充电时起火，这次是在居民楼地下室	中国	不详	电动车	1	5月25日，在朝阳区百环家园2号楼地下室，一辆正在充电的电动车突然起火。	消费品质量安全事件统计	交通工具及相关产品	未知	https://news.sina.cn/2021-05-26/detail-ikmyaawc7684991.d.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
1	2021/5/26	电动车家中充电,爆燃起火 2人逃生途中受伤	中国	不详	电动车	1	5月26日，都匀市七星安置房10楼一住户家发生火灾，经消防部门调查，该起火灾原因为在室内为电动自行车锂电池充电，因锂电池故障起火。	消费品质量安全事件统计	交通工具及相关产品	未知	https://baijiahao.baidu.com/s?id=1700812885479001304&wfr=spider&for=pc	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	电池	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
2	2021/5/26	郑州一女子给电动车充电引发火灾，听到赔偿时当场晕倒	中国	不详	电动车	1	郑州一小区租户为电动车飞线充电导致发生火灾，该小区8辆车被烧。	消费品质量安全事件统计	交通工具及相关产品	未知	https://view.inews.qq.com/a/20210526A08A9800	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
3	2021/5/27	南通一小区车库内电瓶车起火60秒爆燃，监控画面触目惊心	中国	不详	电瓶车	1	5月23日，南通崇川区一车库电瓶车起火引发爆燃。	消费品质量安全事件统计	交通工具及相关产品	未知	https://3g.163.com/local/article/GB0CSRBO04249CUF.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
4	2021/5/27	新买华为手机48℃用得烫手！不到两月故障频出	中国	不详	手机	1	近日，南昌熊先生在华为专卖店买了一部华为Mate40 Pro，不到两个月，手机出现黑屏、卡顿的情况，华为客服通过刷机解决了。但最近他的手机又出现过热的问题。	消费品质量安全事件统计	信息技术产品	未知	https://t.cj.sina.com.cn/articles/view/6418480627/m17e923df303300z871?from=digit	烫伤	2	物理危害	电气危害	触电危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
5	2021/5/27	燃气灶爆炸，淘宝平台不跟进，商家不赔偿	中国	不详	燃气灶	1	消费者投诉网购库森好太太韩康店的燃气灶，煮粥时燃气灶起火，一人被烧伤。	消费品质量安全事件统计	家用电器及电器附件	未知	https://tousu.sina.com.cn/complaint/view/17353400344/	烧伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	有	无	无	无	无	无	是	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
6	2021/5/28	北京一电动车凌晨着火 万幸发生在室外充电车棚	中国	北京	电动车	1	5月27日凌晨，北京市海淀区东升镇一平房区发生电动车火灾，一辆正在充电的电动自行车蓄电池突然着火。因事发在室外充电车棚，火灾未造成人员被困。	消费品质量安全事件统计	交通工具及相关产品	未知	https://www.163.com/news/article/GB330UOA0001899O.html	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	电池	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
7	2021/5/28	蚌埠一房屋起火，现场烧得黢黑！疑似电瓶车充电短路所致！	中国	不详	电瓶车	1	近日，蚌埠市沫河口镇三铺村有房屋着火，店铺着火原因疑是房主
将电瓶车放屋内充电，电线短路导致。	消费品质量安全事件统计	交通工具及相关产品	未知	https://3g.163.com/dy/article/GB36ACLS05148M7V.html?referFrom=www.netinsight.com.cn&isFromOtherWeb=true	烧伤,电击伤	2	物理危害	电气危害	触电危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	未知	未知	未知	未知	是	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
8	2021/5/29	江西宜春：惊险！充电宝突然爆炸，整个卧室燃起大火 	中国	江西	充电宝	1	5月28日，江西宜春高安市凤凰6号一出租屋内弥漫着大量浓烟，火势从屋内的席梦思朝整个卧室蔓延，消防人员赶到后发现，原来造成火灾的罪魁祸首竟然是充电宝。	消费品质量安全事件统计	信息技术产品	未知	https://www.sohu.com/a/469406686_120045059	烧伤	2	物理危害	高/低温物质危害	高温物质危害	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	未知	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
9	2021/5/30	梅塘镇一民居电动车家中充电起火，有人被困……	中国	不详	电动车	1	5月29日，普宁市梅塘镇内丰村附近一民居起火，火灾原因初步调查为电动车违规充电和电气线路故障所致。	消费品质量安全事件统计	交通工具及相关产品	未知	https://new.qq.com/rain/a/20210530A07IZY00	烧伤	2	物理危害	高/低温物质危害,电气危害	高温物质危害,电气爆炸	空	未知	未知	未知	未知	空	无	否	无	无	无	无	未知	未知	未知	空	空	空	空	空	否	空	无	无	无	无	空	否	否	否	否	否	否	无	无	无	无	无	无	是	未知	是	未知	未知	未知	未知	未知	无	无	无	否	无	无	无	无	无	无	无	否	否	否	否	是	未知	未知	未知	否	无	无	无	否	否	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无	无
